date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:52	154847/154847	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202023%2019:17:51%20GMT	https://enterslice.com/learning/difference-between-audit-and-assurance/	C:/My%20Web%20Sites/enterslice/enterslice.com/learning/difference-between-audit-and-assurance/index.html	(from )
00:47:52	194/194	U--M-Z	200	updated ('OK')	text/plain	date:Tue,%2004%20Jul%202023%2009:34:32%20GMT	https://enterslice.com/robots.txt		(from )
00:47:53	704/704	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2018%20Jul%202023%2019:17:52%20GMT	https://enterslice.com/learning/wp-content/plugins/litespeed-cache/assets/js/webfontloader.min.js	C:/My%20Web%20Sites/enterslice/enterslice.com/learning/wp-content/plugins/litespeed-cache/assets/js/webfontloader.min.js	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:47:53	323936/323936	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2010:46:43%20GMT	https://enterslice.com/learning/wp-content/litespeed/css/e91b76c6abeeb7738fba50ad24104900.css?ver=e03ac	C:/My%20Web%20Sites/enterslice/enterslice.com/learning/wp-content/litespeed/css/e91b76c6abeeb7738fba50ad24104900981b.css	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:47:53	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%222f955-d5HdHzFzoNYsw5wh0q1x/I2tDnI%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/enterslice/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:47:54	704/704	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2018%20Jul%202023%2019:17:53%20GMT	https://enterslice.com/learning/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/enterslice/enterslice.com/learning/wp-includes/js/jquery/jquery.min.js	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:47:54	809/809	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jul%202023%2013:15:48%20GMT	https://enterslice.com/learning/wp-content/uploads/2016/11/fav.png	C:/My%20Web%20Sites/enterslice/enterslice.com/learning/wp-content/uploads/2016/11/fav.png	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:47:54	3805/3805	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Jun%202017%2008:07:00%20GMT	https://enterslice.com/admin/style/images/logo_logo.png	C:/My%20Web%20Sites/enterslice/enterslice.com/admin/style/images/logo_logo.png	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:47:54	464/464	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2009:16:31%20GMT	https://enterslice.com/img/call-icon.png	C:/My%20Web%20Sites/enterslice/enterslice.com/img/call-icon.png	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:47:54	2283/2283	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2009:16:32%20GMT	https://enterslice.com/img/whatsapp-icon.png	C:/My%20Web%20Sites/enterslice/enterslice.com/img/whatsapp-icon.png	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:47:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Jul%202023%2019:17:55%20GMT	https://enterslice.com/learning/difference-between-audit-and-assurance/1	C:/My%20Web%20Sites/enterslice/enterslice.com/learning/difference-between-audit-and-assurance/1	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:47:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Jul%202023%2019:17:56%20GMT	https://enterslice.com/learning/difference-between-audit-and-assurance/2	C:/My%20Web%20Sites/enterslice/enterslice.com/learning/difference-between-audit-and-assurance/2	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:47:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Jul%202023%2019:17:58%20GMT	https://enterslice.com/learning/difference-between-audit-and-assurance/3	C:/My%20Web%20Sites/enterslice/enterslice.com/learning/difference-between-audit-and-assurance/3	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
00:48:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Jul%202023%2019:17:59%20GMT	https://enterslice.com/learning/difference-between-audit-and-assurance/4	C:/My%20Web%20Sites/enterslice/enterslice.com/learning/difference-between-audit-and-assurance/4	(from https://enterslice.com/learning/difference-between-audit-and-assurance/)
